pais,anio_num,temperatura,precipitacion,estres_hidrico
Alemania,2011,9.9,886.0,0.0
Alemania,2012,14.6,404.0,10.0
Alemania,2013,11.4,731.0,4.0
Alemania,2014,20.5,1589.0,2.0
Alemania,2015,10.5,555.0,6.0
Alemania,2016,16.9,411.0,7.0
Alemania,2017,16.6,1574.0,4.0
Alemania,2018,15.0,944.0,4.0
Alemania,2019,21.8,626.0,6.0
Alemania,2020,20.6,739.0,3.0
Argentina,2011,16.366666666666667,795.6666666666666,4.666666666666667
Argentina,2012,18.866666666666667,865.6666666666666,2.3333333333333335
Argentina,2013,16.3,980.6666666666666,2.6666666666666665
Argentina,2014,18.3,980.3333333333334,3.0
Argentina,2015,13.566666666666668,874.0,3.0
Argentina,2016,18.733333333333334,1178.3333333333333,1.0
Argentina,2017,18.633333333333333,886.6666666666666,4.0
Argentina,2018,19.533333333333335,789.6666666666666,4.333333333333333
Argentina,2019,13.4,762.0,3.6666666666666665
Argentina,2020,16.066666666666666,540.6666666666666,6.0
Australia,2011,19.133333333333336,1018.3333333333334,0.6666666666666666
Australia,2012,16.433333333333334,1591.0,2.6666666666666665
Australia,2013,18.566666666666666,1230.0,3.0
Australia,2014,18.900000000000002,621.3333333333334,6.0
Australia,2015,20.900000000000002,1160.0,2.3333333333333335
Australia,2016,16.5,743.3333333333334,5.666666666666667
Australia,2017,17.133333333333333,1078.6666666666667,2.6666666666666665
Australia,2018,20.333333333333332,586.6666666666666,5.333333333333333
Australia,2019,18.266666666666666,1041.0,1.0
Australia,2020,16.666666666666668,1281.3333333333333,1.3333333333333333
Brasil,2011,17.96666666666667,615.0,7.333333333333333
Brasil,2012,15.433333333333332,864.3333333333334,4.666666666666667
Brasil,2013,17.466666666666665,775.0,4.333333333333333
Brasil,2014,22.53333333333333,784.3333333333334,6.666666666666667
Brasil,2015,19.266666666666666,1005.3333333333334,3.0
Brasil,2016,16.366666666666667,660.3333333333334,5.333333333333333
Brasil,2017,21.3,621.0,5.0
Brasil,2018,17.533333333333335,639.0,4.666666666666667
Brasil,2019,16.466666666666665,932.0,4.333333333333333
Brasil,2020,20.366666666666664,960.3333333333334,2.6666666666666665
China,2011,17.0,817.0,2.0
China,2012,23.1,445.0,9.0
China,2013,22.4,860.0,1.0
China,2014,19.3,1424.0,4.0
China,2015,12.6,1229.0,1.0
China,2016,25.2,477.0,8.0
China,2017,16.8,372.0,7.0
China,2018,8.7,619.0,6.0
China,2019,12.5,950.0,3.0
China,2020,21.6,956.0,1.0
Estados Unidos,2011,15.733333333333334,1098.6666666666667,3.3333333333333335
Estados Unidos,2012,15.466666666666669,913.0,2.6666666666666665
Estados Unidos,2013,15.299999999999999,1169.6666666666667,2.3333333333333335
Estados Unidos,2014,18.1,634.0,5.0
Estados Unidos,2015,14.6,884.6666666666666,5.333333333333333
Estados Unidos,2016,22.266666666666666,1386.0,1.0
Estados Unidos,2017,16.033333333333335,698.0,4.333333333333333
Estados Unidos,2018,16.76666666666667,877.3333333333334,1.6666666666666667
Estados Unidos,2019,22.366666666666664,1066.3333333333333,3.6666666666666665
Estados Unidos,2020,15.700000000000001,804.3333333333334,5.0
Francia,2011,20.7,1160.0,3.0
Francia,2012,21.2,1186.0,3.0
Francia,2013,15.3,1209.0,2.0
Francia,2014,14.6,1302.0,0.0
Francia,2015,23.3,1455.0,2.0
Francia,2016,12.7,877.0,0.0
Francia,2017,15.3,588.0,4.0
Francia,2018,13.1,418.0,9.0
Francia,2019,22.1,452.0,8.0
Francia,2020,13.8,1387.0,4.0
India,2011,18.933333333333334,1198.6666666666667,2.3333333333333335
India,2012,16.666666666666668,832.0,4.0
India,2013,19.666666666666668,920.6666666666666,3.0
India,2014,19.133333333333336,869.3333333333334,4.333333333333333
India,2015,18.633333333333336,747.0,2.3333333333333335
India,2016,17.566666666666666,1018.3333333333334,1.0
India,2017,19.5,805.3333333333334,6.0
India,2018,17.599999999999998,1124.6666666666667,1.3333333333333333
India,2019,14.433333333333332,1190.0,2.3333333333333335
India,2020,17.76666666666667,673.3333333333334,5.333333333333333
Kenia,2011,21.9,1055.0,1.0
Kenia,2012,20.6,440.0,11.0
Kenia,2013,23.9,939.0,0.0
Kenia,2014,25.7,634.0,4.0
Kenia,2015,15.3,1257.0,1.0
Kenia,2016,10.7,1249.0,3.0
Kenia,2017,23.1,430.0,12.0
Kenia,2018,19.5,430.0,11.0
Kenia,2019,18.1,851.0,3.0
Kenia,2020,22.0,938.0,0.0
México,2011,16.5,796.0,7.0
México,2012,15.9,549.0,3.0
México,2013,25.1,807.0,4.0
México,2014,18.9,1196.0,1.0
México,2015,15.4,901.0,3.0
México,2016,21.6,1453.0,1.0
México,2017,19.6,1274.0,3.0
México,2018,13.3,442.0,11.0
México,2019,18.6,489.0,8.0
México,2020,12.0,427.0,10.0
