pais,tipo_ganado,cabezas,carne,leche,emisiones,eficiencia,intensidad
Alemania,avicola,505221217.5,1284318.6,0.0,17350220.4,0.01323,0.1265
Alemania,bovino,28343506.2,1896113.2,5580228620.2,32858828.1,0.26739,3.6719
Alemania,caprino,11008581.1,375900.6,342337338.2,5664636.8,0.24023,2.2996
Alemania,ovino,11709572.8,218542.0,301352343.5,3869668.0,0.037380000000000004,0.5035999999999999
Alemania,porcino,9317361.0,1977188.2,0.0,7325509.9,0.55589,2.9407
Argentina,avicola,673754794.9,1013837.8,0.0,16409895.4,0.00398,0.0899
Argentina,bovino,18779955.7,2734515.9,4932702586.6,22317559.6,0.23923999999999998,1.8529
Argentina,caprino,9453500.7,265135.2,356327645.3,6270194.3,0.07112,1.8039
Argentina,ovino,11644855.8,287872.3,251787989.0,4119328.6,0.03124,0.3767
Argentina,porcino,11921021.3,1767076.9,0.0,7834683.1,0.23220000000000002,0.8631
Australia,avicola,584820549.0,1356870.9,0.0,16037742.6,0.00339,0.0413
Australia,bovino,25706796.4,2153614.7,5365481789.3,29258077.2,0.15696,2.273
Australia,caprino,8850119.3,323732.1,209106002.8,5879311.3,0.06782,1.3047
Australia,ovino,8169850.2,230228.2,208727422.5,6450447.4,0.05682,1.7259
Australia,porcino,12140389.4,1201676.9,0.0,7281520.8,0.12296,0.9039999999999999
Brasil,avicola,579111235.9,1273284.5,0.0,9339649.4,0.00437,0.0214
Brasil,bovino,27444000.6,3026467.4,6515689309.6,32235396.0,0.15182,1.7818999999999998
Brasil,caprino,10903740.7,241969.2,333937286.2,4174824.8,0.07347,2.0223
Brasil,ovino,7413670.0,212563.1,266573184.6,3571679.7,0.05891,0.9126999999999998
Brasil,porcino,10495294.2,2087820.3,0.0,8981881.6,0.31645,1.5095
China,avicola,541738479.0,1365569.6,0.0,13885070.9,0.005390000000000001,0.0526
China,bovino,22800577.6,2889806.2,3183090056.4,27271331.1,0.21334,1.8425
China,caprino,11487631.4,207828.4,209717772.8,5158404.6,0.04406,1.373
China,ovino,8310844.9,234757.7,236715490.1,7073580.4,0.057789999999999994,1.4256
China,porcino,10740370.8,1615121.8,0.0,8754607.5,0.23420999999999997,0.9839
España,avicola,721837553.8,856080.0,0.0,17122156.1,0.00139,0.034600000000000006
España,bovino,30423000.8,3186358.8,4359394361.6,32189262.8,0.21996,2.8062
España,caprino,9282349.6,250361.0,354845551.2,4908151.9,0.11369,2.1002
España,ovino,11863061.8,279415.7,241494320.4,4826093.0,0.04006,0.8435
España,porcino,9068354.7,1735205.8,0.0,7394283.8,0.32023999999999997,1.809
Estados Unidos,avicola,648343694.9,866537.4,0.0,18178630.8,0.0019299999999999999,0.044700000000000004
Estados Unidos,bovino,26625817.5,3347207.5,5661315997.2,25852796.3,0.41740000000000005,1.5687
Estados Unidos,caprino,11784481.7,319460.1,330595050.1,6321168.2,0.05423,1.0878
Estados Unidos,ovino,13089930.3,298823.6,293452812.7,6545564.2,0.043629999999999995,0.5945
Estados Unidos,porcino,9620843.1,2017217.3,0.0,8142101.9,0.6703699999999999,2.1094
Francia,avicola,540406985.8,1285038.0,0.0,15227804.9,0.00941,0.08990000000000001
Francia,bovino,29002259.8,2998763.1,5140235869.7,27671416.9,0.13005,1.1949
Francia,caprino,13771967.3,251046.2,218256246.6,3304737.8,0.035199999999999995,0.265
Francia,ovino,11987584.6,357261.0,310605957.3,6560915.2,0.041870000000000004,0.6423
Francia,porcino,12015503.0,1929369.6,0.0,6460769.5,0.46098,2.2775
India,avicola,617165320.2,697061.9,0.0,13849548.0,0.0015800000000000002,0.0269
India,bovino,35343350.3,2858452.3,6802824415.1,26435180.2,0.10346,1.1778
India,caprino,10195903.2,299293.7,215009923.8,6205724.0,0.12189000000000001,2.0044
India,ovino,12937186.4,228015.7,201581585.5,4582866.7,0.017169999999999998,0.3972
India,porcino,12823481.6,1799146.9,0.0,10941657.3,0.17381,1.0133
Kenia,avicola,454117309.1,1058525.7,0.0,22009005.3,0.01651,0.417
Kenia,bovino,23127729.5,2700729.5,5756398868.8,23533206.6,0.18902,2.0056000000000003
Kenia,caprino,11354907.7,246776.4,200916255.6,5542239.5,0.03306,0.614
Kenia,ovino,10643045.9,256946.3,199715848.3,5903106.5,0.06886,3.692
Kenia,porcino,10874386.6,2006201.3,0.0,9234122.9,0.31707,1.5789
México,avicola,728262119.8,1117630.6,0.0,9927254.1,0.00172,0.0167
México,bovino,35286412.8,2476759.1,4471679757.6,29879689.8,0.07284,0.7901
México,caprino,13184165.5,327834.6,297959932.4,6319458.4,0.04352,0.8324999999999999
México,ovino,11792453.0,250947.2,237691653.6,5878105.9,0.033839999999999995,0.5917
México,porcino,11012694.8,1599396.1,0.0,9046284.5,0.29733,1.6085
Nueva Zelanda,avicola,501209942.9,988328.8,0.0,20510700.5,0.00237,0.0715
Nueva Zelanda,bovino,35373850.7,2532807.2,5810635761.6,25250981.7,0.16784,0.785
Nueva Zelanda,caprino,10802532.3,277927.5,171420388.8,7473882.2,0.08213999999999999,2.8367
Nueva Zelanda,ovino,12623880.6,250757.3,215896325.9,5682900.3,0.052649999999999995,2.3192
Nueva Zelanda,porcino,10467839.8,1478085.3,0.0,4562039.7,0.34521999999999997,0.9489000000000001
