pais,produccion_total_ton,rendimiento_medio,superficie_total,n_cultivos
Alemania,3874736747,15.6905,199297934,8
Argentina,720411596,3.44775,177055399,8
Australia,6120959078,15.902875,212952926,8
Brasil,6186852226,14.666374999999999,175510055,8
Canadá,758562072,3.461125,163145663,8
China,5929072220,13.980250000000002,191353084,8
España,5018955306,13.182875,181091860,8
Estados Unidos,3961739276,13.900125,174666582,8
Francia,4012847594,12.315625,208887559,8
India,4567444336,13.95,148521784,8
Italia,5077210295,15.191125,204585360,8
Kenia,4265080819,13.8965,185659906,8
México,4460470748,14.617,207249424,8
Nueva Zelanda,3241981599,13.295124999999999,179734643,8
Rusia,5760365657,15.67925,212153867,8
