pais,anio_num,cultivo,produccion,rendimiento,superficie
Alemania,2011,Café,745221,2.24,332472
Alemania,2011,Caña de azúcar,374446753,70.14,5338785
Alemania,2011,Cebada,2838516,3.34,850939
Alemania,2011,Girasol,46148,4.01,11512
Alemania,2011,Maíz,22672727,9.34,2427380
Alemania,2011,Soja,17310419,3.21,5398254
Alemania,2011,Trigo,23847803,5.87,4062211
Alemania,2011,Té,573983,2.38,241629
Alemania,2012,Café,584593,1.25,465996
Alemania,2012,Caña de azúcar,242465865,101.16,2396761
Alemania,2012,Cebada,3933606,5.61,701274
Alemania,2012,Girasol,16246391,3.77,4309725
Alemania,2012,Maíz,52096663,8.57,6079788
Alemania,2012,Soja,24195335,4.68,5174134
Alemania,2012,Trigo,10308998,3.92,2629886
Alemania,2012,Té,380432,2.19,173624
Alemania,2013,Café,422736,1.14,370947
Alemania,2013,Caña de azúcar,65698549,71.14,923474
Alemania,2013,Cebada,4865054,3.5,1389206
Alemania,2013,Girasol,4386555,1.86,2361916
Alemania,2013,Maíz,58852779,8.7,6763106
Alemania,2013,Soja,18623769,3.82,4872539
Alemania,2013,Trigo,12552324,4.86,2581351
Alemania,2013,Té,937549,3.05,307453
Alemania,2014,Café,314329,2.5,125645
Alemania,2014,Caña de azúcar,320503951,130.07,2464081
Alemania,2014,Cebada,6717294,4.0,1680186
Alemania,2014,Girasol,5602407,1.8,3119278
Alemania,2014,Maíz,10671889,5.42,1970628
Alemania,2014,Soja,5847509,2.64,2212295
Alemania,2014,Trigo,9007544,3.68,2448628
Alemania,2014,Té,148035,1.63,90740
Alemania,2015,Café,800024,2.07,385881
Alemania,2015,Caña de azúcar,363043576,95.61,3797050
Alemania,2015,Cebada,11198736,6.13,1826359
Alemania,2015,Girasol,2151027,1.45,1484901
Alemania,2015,Maíz,39734991,5.5,7225117
Alemania,2015,Soja,2675561,3.39,789168
Alemania,2015,Trigo,510303,3.13,163030
Alemania,2015,Té,64087,1.78,36065
Alemania,2016,Café,110423,0.82,134399
Alemania,2016,Caña de azúcar,601271048,102.35,5874725
Alemania,2016,Cebada,1976410,3.2,617228
Alemania,2016,Girasol,8079622,1.61,5006056
Alemania,2016,Maíz,38469124,6.9,5577029
Alemania,2016,Soja,39906614,5.1,7824449
Alemania,2016,Trigo,1671878,3.15,530001
Alemania,2016,Té,1125495,3.48,322978
Alemania,2017,Café,197697,0.91,217241
Alemania,2017,Caña de azúcar,140910944,112.72,1250135
Alemania,2017,Cebada,2092322,2.68,779864
Alemania,2017,Girasol,2910842,3.78,770718
Alemania,2017,Maíz,13296633,5.26,2529076
Alemania,2017,Soja,17421273,3.09,5644663
Alemania,2017,Trigo,12013771,3.96,3031845
Alemania,2017,Té,346798,2.91,119253
Alemania,2018,Café,432668,1.51,287174
Alemania,2018,Caña de azúcar,217830531,113.29,1922703
Alemania,2018,Cebada,3104287,2.78,1117777
Alemania,2018,Girasol,9423673,2.78,3391922
Alemania,2018,Maíz,57762771,6.87,8402185
Alemania,2018,Soja,19746956,4.04,4889234
Alemania,2018,Trigo,4204221,4.16,1011512
Alemania,2018,Té,246949,2.12,116256
Alemania,2019,Café,254045,0.64,394263
Alemania,2019,Caña de azúcar,589758724,106.9,5516868
Alemania,2019,Cebada,515150,5.43,94822
Alemania,2019,Girasol,4609433,3.15,1462104
Alemania,2019,Maíz,89286894,11.03,8095649
Alemania,2019,Soja,5675885,3.88,1463520
Alemania,2019,Trigo,25894516,7.0,3700533
Alemania,2019,Té,535596,2.57,208210
Alemania,2020,Café,400243,2.76,144804
Alemania,2020,Caña de azúcar,112195123,86.17,1301996
Alemania,2020,Cebada,4859168,4.32,1124437
Alemania,2020,Girasol,14547154,2.47,5891856
Alemania,2020,Maíz,26737263,5.94,4498613
Alemania,2020,Soja,35738183,3.82,9365600
Alemania,2020,Trigo,30708729,6.84,4489698
Alemania,2020,Té,443660,2.3,193124
Argentina,2011,Algodón,1929756,1.18,1638327
Argentina,2011,Café,384031,1.61,238479
Argentina,2011,Cebada,4596917,2.77,1661577
