pais,codigo_iso,region,anio,temperatura_promedio,precipitacion_total,eventos_extremos,meses_estres_hidrico,indice_aridez,temperatura_maxima,temperatura_minima,humedad_relativa_promedio,dias_con_heladas
Argentina,ARG,Pampa Húmeda,2011-01-01,16.9,1050,,1,17.26,22.3,3.6,64,19
Argentina,ARG,Pampa Húmeda,2012-01-01,18.7,518,,5,7.69,25.8,6.7,72,70
Argentina,ARG,Pampa Húmeda,2013-01-01,21.2,1390,"ola_calor, sequia_moderada",0,18.21,31.4,9.9,70,17
Argentina,ARG,Pampa Húmeda,2014-01-01,17.2,731,,5,11.81,29.2,5.9,40,20
Argentina,ARG,Pampa Húmeda,2015-01-01,16.8,589,,5,9.74,23.4,6.3,41,56
Argentina,ARG,Pampa Húmeda,2016-01-01,22.4,825,,1,10.23,29.9,13.7,61,61
Argentina,ARG,Pampa Húmeda,2017-01-01,21.6,759,,7,9.76,27.7,12.3,57,73
Argentina,ARG,Pampa Húmeda,2018-01-01,16.0,390,,11,6.77,30.4,9.0,76,96
Argentina,ARG,Pampa Húmeda,2019-01-01,13.0,900,helada_tardia,3,19.23,22.0,3.4,82,18
Argentina,ARG,Pampa Húmeda,2020-01-01,12.4,442,,9,9.9,18.3,5.0,83,71
Argentina,ARG,Cuyo,2011-01-01,22.6,702,,6,8.63,34.6,8.5,82,48
Argentina,ARG,Cuyo,2012-01-01,23.3,961,granizo,2,11.46,37.3,10.1,67,76
Argentina,ARG,Cuyo,2013-01-01,15.9,423,,7,7.39,29.8,9.1,55,47
Argentina,ARG,Cuyo,2014-01-01,13.9,937,,0,18.73,25.4,7.5,52,5
Argentina,ARG,Cuyo,2015-01-01,12.7,873,,2,19.09,20.8,0.9,70,4
Argentina,ARG,Cuyo,2016-01-01,13.0,1387,,0,29.64,22.6,7.2,83,93
Argentina,ARG,Cuyo,2017-01-01,12.4,1074,,4,24.06,22.5,0.5,40,62
Argentina,ARG,Cuyo,2018-01-01,19.6,907,,0,12.85,30.6,6.6,68,64
Argentina,ARG,Cuyo,2019-01-01,15.1,880,,1,16.19,29.9,4.8,64,111
Argentina,ARG,Cuyo,2020-01-01,19.6,563,,4,7.98,29.7,8.5,69,55
Argentina,ARG,Patagonia,2011-01-01,9.6,635,,7,18.37,21.5,2.1,61,86
Argentina,ARG,Patagonia,2012-01-01,14.6,1118,,0,21.27,24.1,6.6,42,76
Argentina,ARG,Patagonia,2013-01-01,11.8,1129,"sequia_severa, sequia_extrema, helada_tardia",1,26.58,23.1,2.5,57,44
Argentina,ARG,Patagonia,2014-01-01,23.8,1273,,4,14.86,34.5,18.4,60,47
Argentina,ARG,Patagonia,2015-01-01,11.2,1160,"sequia_severa, helada_tardia, incendios",2,28.77,20.4,6.0,56,92
Argentina,ARG,Patagonia,2016-01-01,20.8,1323,ola_calor,2,17.67,32.0,10.4,55,88
Argentina,ARG,Patagonia,2017-01-01,21.9,827,,1,10.49,29.7,10.2,78,51
