pais,codigo_iso,region,cultivo,anio,superficie_hectareas,rendimiento_ton_ha,produccion_ton,fertilizantes_kg_ha,agua_riego_m3_ha,tendencia_5_anios
Argentina,ARG,América del Sur,Soja,2011-01-01,4703643,2.22,10465461,105,4811,0.0005355288103362
Argentina,ARG,América del Sur,Maíz,2011-01-01,3371781,8.45,28485921,164,5557,0.0309430456677826
Argentina,ARG,América del Sur,Cebada,2011-01-01,1661577,2.77,4596917,105,6514,-0.0397789723480151
Argentina,ARG,América del Sur,Té,2011-01-01,188518,3.07,577886,236,8527,0.00362280914547
Argentina,ARG,América del Sur,Algodón,2011-01-01,1638327,1.18,1929756,276,6925,0.0077352145256762
Argentina,ARG,América del Sur,Girasol,2011-01-01,400408,3.59,1436089,268,4814,0.0366483666755269
Argentina,ARG,América del Sur,Café,2011-01-01,238479,1.61,384031,103,5374,0.0201820313458551
Argentina,ARG,América del Sur,Trigo,2011-01-01,627742,5.25,3294702,91,8573,-0.0120544558242352
Argentina,ARG,América del Sur,Soja,2012-01-01,5742860,3.26,18722616,246,1916,-0.0270951928035895
Argentina,ARG,América del Sur,Maíz,2012-01-01,5195860,5.4,28032958,195,6155,-0.0287373455945859
Argentina,ARG,América del Sur,Cebada,2012-01-01,1878820,5.21,9791625,113,9830,-0.0237258391477064
Argentina,ARG,América del Sur,Té,2012-01-01,213792,1.84,393950,176,2489,0.0255782157533737
Argentina,ARG,América del Sur,Algodón,2012-01-01,676195,3.14,2125899,66,7304,-0.0118380713493463
Argentina,ARG,América del Sur,Girasol,2012-01-01,4717670,2.32,10930665,224,2876,0.0181710369026574
Argentina,ARG,América del Sur,Café,2012-01-01,142829,1.79,255495,90,8433,-0.049675468389827
Argentina,ARG,América del Sur,Trigo,2012-01-01,2301854,8.67,19961382,77,5889,0.0341669348172467
Argentina,ARG,América del Sur,Soja,2013-01-01,1746490,3.14,5478586,249,9689,0.0418493494395702
Argentina,ARG,América del Sur,Maíz,2013-01-01,8547523,4.09,34977816,262,6038,-0.0260547689661941
Argentina,ARG,América del Sur,Cebada,2013-01-01,1166539,4.83,5634708,67,9727,0.0265834429306987
Argentina,ARG,América del Sur,Té,2013-01-01,239649,2.53,605567,205,7932,0.0464362906007455
Argentina,ARG,América del Sur,Algodón,2013-01-01,3134608,1.7,5338042,216,7118,-0.0061899916085495
Argentina,ARG,América del Sur,Girasol,2013-01-01,1043240,1.41,1472007,191,4770,0.0088440114410351
Argentina,ARG,América del Sur,Café,2013-01-01,350614,1.76,617863,270,6413,-0.0429142650111346
Argentina,ARG,América del Sur,Trigo,2013-01-01,3993322,3.17,12652195,196,8744,-0.0257002757604275
Argentina,ARG,América del Sur,Soja,2014-01-01,3515508,2.37,8318994,158,7735,-0.0032975331963325
Argentina,ARG,América del Sur,Maíz,2014-01-01,1869306,4.07,7615290,77,5073,-0.0308409927858346
Argentina,ARG,América del Sur,Cebada,2014-01-01,307216,3.35,1029879,286,2235,-0.0056869254946543
Argentina,ARG,América del Sur,Té,2014-01-01,316633,1.28,406569,53,2528,0.0426366983008127
Argentina,ARG,América del Sur,Algodón,2014-01-01,767759,2.44,1876140,281,1960,-0.0335362878598473
Argentina,ARG,América del Sur,Girasol,2014-01-01,3031400,2.23,6761835,158,8973,-0.0345203174725935
Argentina,ARG,América del Sur,Café,2014-01-01,31012,1.81,56187,64,1821,0.0084177594458971
Argentina,ARG,América del Sur,Trigo,2014-01-01,4568180,3.05,13923967,97,2122,0.0095035106450027
Argentina,ARG,América del Sur,Soja,2015-01-01,2166107,3.97,8606247,198,1651,0.0119381510332103
Argentina,ARG,América del Sur,Maíz,2015-01-01,9940032,5.98,59471302,221,6147,-0.0261314047384154
Argentina,ARG,América del Sur,Cebada,2015-01-01,1412147,5.28,7455970,289,2188,-0.0490684543115753
Argentina,ARG,América del Sur,Té,2015-01-01,312383,2.27,708453,117,3170,0.0433259377993709
Argentina,ARG,América del Sur,Algodón,2015-01-01,1159474,2.0,2321417,230,5956,0.011167776572595
Argentina,ARG,América del Sur,Girasol,2015-01-01,5139424,1.61,8249296,219,2697,0.0438930003927103
Argentina,ARG,América del Sur,Café,2015-01-01,57537,2.24,128997,122,4450,0.0217612187138797
Argentina,ARG,América del Sur,Trigo,2015-01-01,2126877,5.09,10818005,63,2512,0.0134284447309194
Argentina,ARG,América del Sur,Soja,2016-01-01,476888,2.89,1379775,117,3647,0.024123090834793
Argentina,ARG,América del Sur,Maíz,2016-01-01,7612796,6.63,50489823,226,3442,0.0045590289205522
Argentina,ARG,América del Sur,Cebada,2016-01-01,1395478,3.72,5186979,143,1653,0.0398924636526474
Argentina,ARG,América del Sur,Té,2016-01-01,124017,2.24,277394,273,7658,0.0473837022637289
Argentina,ARG,América del Sur,Algodón,2016-01-01,1107254,4.68,5178909,275,7755,-0.0475213638101811
Argentina,ARG,América del Sur,Girasol,2016-01-01,3091090,3.11,9604766,238,5065,-0.0233194290405528
Argentina,ARG,América del Sur,Café,2016-01-01,64708,1.02,66169,101,8541,-0.0150341575554081
Argentina,ARG,América del Sur,Trigo,2016-01-01,2185758,3.44,7525604,121,2137,0.0466889104048361
Argentina,ARG,América del Sur,Soja,2017-01-01,5205491,4.16,21656516,134,1452,-0.0384658248148572
Argentina,ARG,América del Sur,Maíz,2017-01-01,3769397,7.26,27375849,202,8119,-0.0154312888320199
Argentina,ARG,América del Sur,Cebada,2017-01-01,1052089,4.48,4716454,197,4114,-0.0245277493861418
Argentina,ARG,América del Sur,Té,2017-01-01,1542,2.42,3729,290,4228,-0.0135778528218735
Argentina,ARG,América del Sur,Algodón,2017-01-01,2484154,4.14,10287257,81,5920,0.0007122504035269
Argentina,ARG,América del Sur,Girasol,2017-01-01,3013252,1.88,5664213,157,7211,0.0177317945272732
Argentina,ARG,América del Sur,Café,2017-01-01,385154,1.73,668055,127,5700,-0.0289817315117358
Argentina,ARG,América del Sur,Trigo,2017-01-01,3112871,4.28,13314441,171,3780,0.0158850744998421
Argentina,ARG,América del Sur,Soja,2018-01-01,5362866,3.85,20666579,242,4848,0.0172795670557167
Argentina,ARG,América del Sur,Maíz,2018-01-01,3206769,3.78,12117610,206,2193,-0.004458383161991
Argentina,ARG,América del Sur,Cebada,2018-01-01,1469060,3.42,5030855,112,3417,0.0156058011111784
Argentina,ARG,América del Sur,Té,2018-01-01,48076,2.48,119051,228,9486,-0.0035450115425747
Argentina,ARG,América del Sur,Algodón,2018-01-01,547283,2.79,1526116,193,6198,0.0450039608443156
Argentina,ARG,América del Sur,Girasol,2018-01-01,5154094,2.69,13875282,90,8777,-0.0049930242753091
Argentina,ARG,América del Sur,Café,2018-01-01,507390,1.98,1002924,210,4919,-0.0225402553082461
Argentina,ARG,América del Sur,Trigo,2018-01-01,2122111,3.56,7551720,70,3267,-0.0349169341986913
Argentina,ARG,América del Sur,Soja,2019-01-01,1321690,3.14,4151744,188,8633,-0.0084225765896844
Argentina,ARG,América del Sur,Maíz,2019-01-01,6550902,7.19,47122614,55,7232,-0.0023020267442643
Argentina,ARG,América del Sur,Cebada,2019-01-01,803243,6.66,5350442,157,9818,0.024751566897805
Argentina,ARG,América del Sur,Té,2019-01-01,123988,1.79,221839,149,6507,0.0168873620622917
Argentina,ARG,América del Sur,Algodón,2019-01-01,832592,4.71,3917824,186,1441,0.0406928862586768
